label,email
spam,"Subject: Compliance Violation Detected: Resolve immediately!

Dear Business Owner,

Compliance Violation Detected: Resolve immediately! Click here: [Malicious Link]

Regards,
Spam Team 74"
spam,"Subject: Security Alert: Unauthorized Login Attempt Detected!

Dear Business Owner,

Security Alert: Unauthorized Login Attempt Detected! Click here: [Malicious Link]

Regards,
Spam Team 19"
spam,"Subject: Security Alert: Unauthorized Login Attempt Detected!

Dear Business Owner,

Security Alert: Unauthorized Login Attempt Detected! Click here: [Malicious Link]

Regards,
Spam Team 119"
spam,"Subject: Security Alert: Unauthorized Login Attempt Detected!

Dear Business Owner,

Security Alert: Unauthorized Login Attempt Detected! Click here: [Malicious Link]

Regards,
Spam Team 79"
spam,"Subject: Investment Opportunity: Earn 300% ROI Guaranteed!

Dear Business Owner,

Investment Opportunity: Earn 300% ROI Guaranteed! Click here: [Malicious Link]

Regards,
Spam Team 77"
spam,"Subject: Verify Your Business Account: Avoid suspension now!

Dear Business Owner,

Verify Your Business Account: Avoid suspension now! Click here: [Malicious Link]

Regards,
Spam Team 32"
spam,"Subject: Work-From-Home Opportunity: Earn $2,000 per week!

Dear Business Owner,

Work-From-Home Opportunity: Earn $2,000 per week! Click here: [Malicious Link]

Regards,
Spam Team 65"
spam,"Subject: Verify Your Business Account: Avoid suspension now!

Dear Business Owner,

Verify Your Business Account: Avoid suspension now! Click here: [Malicious Link]

Regards,
Spam Team 142"
spam,"Subject: Security Alert: Unauthorized Login Attempt Detected!

Dear Business Owner,

Security Alert: Unauthorized Login Attempt Detected! Click here: [Malicious Link]

Regards,
Spam Team 69"
spam,"Subject: Win a Free Business Marketing Package Worth $5,000!

Dear Business Owner,

Win a Free Business Marketing Package Worth $5,000! Click here: [Malicious Link]

Regards,
Spam Team 83"
spam,"Subject: Exclusive Business Loan Offer: Pre-approved for $500,000!

Dear Business Owner,

Exclusive Business Loan Offer: Pre-approved for $500,000! Click here: [Malicious Link]

Regards,
Spam Team 111"
spam,"Subject: Win a Free Business Marketing Package Worth $5,000!

Dear Business Owner,

Win a Free Business Marketing Package Worth $5,000! Click here: [Malicious Link]

Regards,
Spam Team 13"
spam,"Subject: Investment Opportunity: Earn 300% ROI Guaranteed!

Dear Business Owner,

Investment Opportunity: Earn 300% ROI Guaranteed! Click here: [Malicious Link]

Regards,
Spam Team 37"
spam,"Subject: Urgent Invoice Payment Reminder: Pay now to avoid legal action!

Dear Business Owner,

Urgent Invoice Payment Reminder: Pay now to avoid legal action! Click here: [Malicious Link]

Regards,
Spam Team 10"
spam,"Subject: Urgent Invoice Payment Reminder: Pay now to avoid legal action!

Dear Business Owner,

Urgent Invoice Payment Reminder: Pay now to avoid legal action! Click here: [Malicious Link]

Regards,
Spam Team 20"
spam,"Subject: Investment Opportunity: Earn 300% ROI Guaranteed!

Dear Business Owner,

Investment Opportunity: Earn 300% ROI Guaranteed! Click here: [Malicious Link]

Regards,
Spam Team 57"
spam,"Subject: Work-From-Home Opportunity: Earn $2,000 per week!

Dear Business Owner,

Work-From-Home Opportunity: Earn $2,000 per week! Click here: [Malicious Link]

Regards,
Spam Team 105"
spam,"Subject: Urgent Invoice Payment Reminder: Pay now to avoid legal action!

Dear Business Owner,

Urgent Invoice Payment Reminder: Pay now to avoid legal action! Click here: [Malicious Link]

Regards,
Spam Team 70"
spam,"Subject: Your Website Hosting is Expiring! Renew Now!

Dear Business Owner,

Your Website Hosting is Expiring! Renew Now! Click here: [Malicious Link]

Regards,
Spam Team 56"
spam,"Subject: Win a Free Business Marketing Package Worth $5,000!

Dear Business Owner,

Win a Free Business Marketing Package Worth $5,000! Click here: [Malicious Link]

Regards,
Spam Team 133"
spam,"Subject: Urgent Invoice Payment Reminder: Pay now to avoid legal action!

Dear Business Owner,

Urgent Invoice Payment Reminder: Pay now to avoid legal action! Click here: [Malicious Link]

Regards,
Spam Team 30"
spam,"Subject: New Client Inquiry: Send Your Quotation Now!

Dear Business Owner,

New Client Inquiry: Send Your Quotation Now! Click here: [Malicious Link]

Regards,
Spam Team 128"
spam,"Subject: Investment Opportunity: Earn 300% ROI Guaranteed!

Dear Business Owner,

Investment Opportunity: Earn 300% ROI Guaranteed! Click here: [Malicious Link]

Regards,
Spam Team 27"
spam,"Subject: Security Alert: Unauthorized Login Attempt Detected!

Dear Business Owner,

Security Alert: Unauthorized Login Attempt Detected! Click here: [Malicious Link]

Regards,
Spam Team 129"
spam,"Subject: Verify Your Business Account: Avoid suspension now!

Dear Business Owner,

Verify Your Business Account: Avoid suspension now! Click here: [Malicious Link]

Regards,
Spam Team 132"
spam,"Subject: Your Website Hosting is Expiring! Renew Now!

Dear Business Owner,

Your Website Hosting is Expiring! Renew Now! Click here: [Malicious Link]

Regards,
Spam Team 146"
spam,"Subject: Security Alert: Unauthorized Login Attempt Detected!

Dear Business Owner,

Security Alert: Unauthorized Login Attempt Detected! Click here: [Malicious Link]

Regards,
Spam Team 109"
spam,"Subject: Compliance Violation Detected: Resolve immediately!

Dear Business Owner,

Compliance Violation Detected: Resolve immediately! Click here: [Malicious Link]

Regards,
Spam Team 144"
spam,"Subject: Your Website Hosting is Expiring! Renew Now!

Dear Business Owner,

Your Website Hosting is Expiring! Renew Now! Click here: [Malicious Link]

Regards,
Spam Team 46"
spam,"Subject: Exclusive Business Loan Offer: Pre-approved for $500,000!

Dear Business Owner,

Exclusive Business Loan Offer: Pre-approved for $500,000! Click here: [Malicious Link]

Regards,
Spam Team 31"
